rating,date,reviews,feedback
5,30-Jul-18,"Love it, we are still learning the capabilities, having a lot of fun.",1
5,29-Jul-18,Very easy setup.,1
5,17-Jul-18, ,1
5,26-Jul-18,"I purchased this on prime day mostly as a present for myself because I found having the echo plus on my kitchen counter to be overwhelming when cooking, cutting, cleaning, etc. especially when our counters aren’t very wide to begin with. After going back and forth between this and the show I decided on this because I felt it had all the same features but is more compact. I can honestly say I have no regrets. While I probably wouldn’t watch a movie I’d been dying to see on this, it’s a great way to listen to music, watch a quick YouTube video, etc. I even attempted watching “Jaws” on this and while it wasn’t the most comfortable thing for my eyes to do, it wasn’t as bad as one would think. I would definitely recommend!",1
5,30-Jul-18,Fun and  information.  No dislikes  so far !! Like the convenience!!,1
5,30-Jul-18,I am very pleased with the Fire Stick.,1
5,30-Jul-18,Love these.  Great in the bathroom to listen to the news during showering.  Or listen to CNN live with Serius SM.,1
4,26-Jul-18,Speakers are not as loud as Google Home,1
5,30-Jul-18,Echo Dot and related devices are the best thing to come in a long time.,1
5,28-Jul-18,"Easy to use. Great for recipes, listen to music, see movies, movie trailers, so much to do....",1
2,30-Jul-18,las películas no tiene o no se pueden cambiar a español o títulos en español,0
2,30-Jul-18,Thought it would be more powerful and have a lot more functionality. Not much better than the Echo dot. Not worth the money.,0
4,03-Jun-18,Worked as advertised. Thanks,1
5,28-Jul-18,Easy set up and to use. I bought two one for my house and one for my 75 year old grandfather. I set it up for him a gave him a 15 minute lesson and he calls me at least once a day it’s is great to be able to see him in between visits.,1
5,30-Jul-18,Still love it,1
1,30-Jul-18,I didn't like that almost everytime i asked Alexa a question she would say i dont know that or i havent learned that.,0
4,28-Jul-18,"So far I like it.  I bought it just for some music though, and it sounds pretty good.",1
5,30-Jul-18,Great. Definitely gets a little old after a while but for $30 I can't really regret it at all. Love having it hooked up to my speakers via bluetooth and waking up to The Smiths.,1
5,30-Jul-18,Really like it,1
5,30-Jul-18,Finally bought one but it couldn't find my Wi-Fi. Had to buy a Wi-Fi extended. My smart t.v. used the Wi-Fi just fine.,1
5,28-Jul-18,"Love my Echo Show!! Now I can listen to music, get recipes, and so much more!!! I highly recommend the Echo for everyone!!",1
3,30-Jul-18,I don'r know how to use it yet.  Need more explicit directions for the electeonically challenged.  I did not get the feee lifht bulb that was part of the package.,1
5,28-Jul-18,Love it. It is in my kitchen so I can watch Prime Video while cooking.,1
3,30-Jul-18,Netflix and Hulu,1
5,30-Jul-18,Excellent. Bought another one yesterday!,1
5,29-Jul-18,We enjoy it,1
5,29-Jul-18,the best,1
5,30-Jul-18,I love it,1
5,30-Jul-18,wonderful product and fast delivery!,1
3,05-Jun-18,Not bad bad speaker for sound,1
5,30-Jul-18,We have only been using Alexa for a couple of days and are having a lot of fun with our new toy. It like having a new household member! We are trying to learn all the different featues and benefits that come with it.,1
5,30-Jul-18,Good Value,1
5,28-Jul-18,"We now have a dot, spot, echo and show and love the show and spot best. The show has great sound and my wife loves the display for weather, recipes and sing alongside. Super deal.",1
5,30-Jul-18,"Awesome, wish I had gotten one sooner.",1
5,31-Jul-18,Small device that my kids like to ask questions. Very handy friendly interactive,1
5,31-Jul-18,"Excellent to listen to my music, my audio books, and look all my cameras in and around my house.",1
5,30-Jul-18,Very good quality,1
5,20-Jul-18,I like the Echo Spot because it fits into my decor and I can also sing along with my favorite songs,1
5,30-Jul-18,It works great!!,1
4,30-Jul-18,"I love this fire stick because after installing a few highly recommended apps, I discovered that a lot of the channels I don't have with my cable provider is included,  and I don't have to pay extra! Just subscribing to a few streaming apps will do and I still come out paying way less than cable tv.",1
5,30-Jul-18,"Used for personal use. We like hearing weather, news from CNN, and various playlists.",1
1,30-Jul-18,The product sounded the same as the emoji speaker from five below my sister has ... and even that one has Bluetooth and doesn’t need to be plugged in. The only good thing about this is that you can speak to it.,0
3,28-Jul-18,"I like the option for white, but it’s bizarre that it comes with a black cord. I have a white kitchen, so now I have this stands-out-like-a-sore-thumb black power cord. For aesthetic purposes, I was happier with my year-old white Echo (not Show) because it came with a white powercord. This seems like a major design flaw in the “white” option. I strongly urge Amazon to change out the powercord to white.",1
5,30-Jul-18,"Works great.Having fun playing music,checking weather,a king questions.",1
5,19-Jul-18,Love It,1
5,30-Jul-18,I like the hands free operation vs the Tap. We use both for controlling smart plugs.,1
5,29-Jun-18,We have a great time using this as a family. Even my toddler can talk to her . There are a few features I wish it would learn to do  but overall we love it and glad we brought it over the Google home !,1
5,30-Jul-18,So far I like it 🤓,1
5,30-Jul-18,"This was an impulse buy but turns out I really enjoy my new dot. My grands love requesting songs and playing games. I like listening to my audible selection, keeping up with my to do lists and discovering new Alexa skills. Fun and practical, my echo dot has been a surprisingly welcome addition to my home.",1
5,30-Jul-18,"Love it! I personally prefer Spotify music, so it’s great that I was able to set that as default. There’s not a day that goes by without music in our home. Also, the reason we got it is to keep our pup calm when we leave, so we tell Alexa to play some classical music or jazz and it works wonders. He’s a lot more calmer and doesn’t bark when we lock the door and start walking away. It’s a must have!",1
5,30-Jul-18,"awesome thing, love Alexa",1
4,13-Jul-18,"There's room for improvement on this. For the price, I cannot complain too much. I can still complain however, the audio is terrible. This is kind of like listening to a speak-n-spell from the 80s.",1
1,30-Jul-18,Echo Dot responds to us when we aren't even talking to it. I've unplugged it. It feels like it's &#34;spying&#34; on us.,0
5,30-Jul-18,fun so far. learning to use her.,1
4,28-Jul-18,"Big step up from the Dot! Dropped one star due to consistent delay in bringing up Ring Pro video, though looks great once the feed is displayed.",1
5,28-Jul-18,Love it!  We have other echoes and love those so I bought this on prime day!  No regrets.  Love that I can connect to my Ring and see the front door.  Yhe kids like seeing the lyrics to songs and sing along. .,1
2,20-Jul-18,"Why do we need to buy a $100 hub to get it to work with Samsung TV's and many other devices?  I want my money back!  This thing won't even turn on my TV unless I buy another hub.  What's the point of having a hub that doesn't support half the devices out there?  DON'T buy this thing unless you want to spend another $100 on another hub.  It won't work with many of your devices.  Just by the Echo or Dot if you must but not this.  Better yet, get a Google device.  They actually understand you when you talk.",0
5,30-Jul-18,Great buy. Recommend getting Kodi with some movie addons,1
1,30-Jul-18,Used twice not working!!!!!!!,0
5,29-Jul-18,I love it.  I made a group with my echo dot so I get music through my home.  I am waiting for the to go on sale again so hopefully I can get another spot for my bedroom..  I love the alarm and weather at the sound of my voice..,1
5,29-Jul-18,"Still getting used to Alexa, don't have her connected to our TV yet or other things right now use her for music and information, which she is great!!",1
5,30-Jul-18,I love this! It’s user friendly and better than any streaming device we have previously used. I wish we had purchased sooner and purchased more of them.,1
1,30-Jul-18,"Seems to work ok, but no youtube tv?  Really?  can't believe they would ban an app that so many people want to use.  I really wanted to like it, but when I couldn't install that particular app it became almost useless, almost.  Does most other stuff just fine, but I'll stick with my Roku.",0
5,29-Jul-18,I really love my amazon echo. I think the sound quality is great and we have a lot of fun with it. It is really handy for music and to get updates on the weather and sports!,1
4,29-Jul-18,"So far it has worked well. Not always intuitive as to how to link different devices, or ""skills"", but getting the hang of it.",1
4,30-Jul-18,I like it and still learning how to use it.,1
5,28-Jul-18,Love the speakers and the screen.,1
5,26-Jul-18,It was easy set up.  I use it more than I thought.,1
5,16-Jul-18,"Love my spot! My favorite feature is the &#34;Alexa, start my day.&#34; I love that I can hear the weather, traffic and even the word of the day! It even goes right into my favorite podcast while I get dressed!",1
5,30-Jul-18,Great,1
2,30-Jul-18, ,0
5,29-Jul-18,"I’m having trouble connecting my tv to it, but I’m not exactly tech smart. I’m sure one of my grandsons will figure it out for me. So far I’ve been using it mostly for music.",1
5,11-Jul-18,Very easy to set up and use. Slowly adding devices to truly make our house a smart home. Both Alexa and I are learning what we can do.  With each new item I am happier that I made the purchase.  So far my only regret is I didn’t do it sooner.,1
5,30-Jul-18,So far I like it 🤓,1
4,30-Jul-18,Easy to set up. Still trying to get it to connect to a light bulb smart plug. Grandkids think Alex is cool!,1
5,30-Jul-18,It is s great tool helping with information.,1
1,24-Jul-18,"Great product EXCEPT there is no possible way for it to act as a clock the displays the time PERMANENTLY.  When in 'Clock' mode, the screen rotates between the clock face and a 'Things to Try' screen.  I intended on buying several units for my house, but I do not need a screen in the house that is permanently trying to upset me.  Acting as clock should be a BASIC feature of the Echo Spot.  How could you get this wrong, Amazon??  #FAIL",0
